"config_id"	"report_type"	"external_report_type"	"grain"	"attributes"	"n_attributes"	"metrics"	"n_metrics"	"required_filters"	"filters_applied"	"unmet_required_filters"	"date_start"	"date_end"	"agency"	"status"	"error"	"sql_chars"	"total_bytes_processed"	"gb_processed"	"referenced_tables"	"statement_type"	"job_id"	"rows"	"total_bytes_billed"	"cache_hit"	"slot_ms"	"elapsed_ms"	"slot_ms_per_gb"	"avg_parallelism"	"stages"	"shuffle_output_bytes"	"records_read"	"records_written"	"slowest_stage"	"dryrun_gb_estimate"	"dryrun_overestimate_x"
"C21"	"INTERNAL_PERF_CAMPAIGN_INVENTORY"	"CAMPAIGN_INVENTORY_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"inventory_name,campaign_group_name,campaign_group_id,os_client_id"	"4"	"spend,impressions,clicks,ctr,cpm,program_gmv,roas"	"7"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"2570"	"901532463"	"0.84"	"reporting.os_brand_ads_network_level_facts;reporting.marketplace_clients;reporting.brand_ads_dimensions;reporting.campaign_tagging_data;reporting.marketing_campaign_group_dimensions"	"SELECT"	"ff34c44c-41d1-4fde-ae92-968a80190f68"	"536"	"901775360"	"False"	"28942"	"1032.0"	"34470.5"	"28.0"	"9"	"437229707"	"22845593"	"3808598"	"S07: Join"	"0.84"	"1.0"
"C23"	"INTERNAL_PERF_CAMPAIGN_PRODUCT_SELECTION"	"CAMPAIGN_PRODUCT_SELECTION_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"campaign_id,merchant_id,product_id,product_name,availability,brand,category_l1,category_l2,category_l3"	"9"	"placeholder_metric"	"1"	"campaign_id"	"[{""key"": ""campaign_id"", ""operator"": ""IN"", ""values"": [""1322334""]}]"	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1227"	"4323625090"	"4.027"	"reporting.oltp_merchandise_product_dimensions_100002;reporting.os_product_ads_product_selection_100002;reporting.campaign_tagging_data"	"SELECT"	"10d0a421-9225-4116-b258-c04625f71584"	"26"	"4324327424"	"False"	"66043"	"2210.0"	"16401.3"	"29.9"	"5"	"15272"	"62900157"	"127"	"S05: Join+"	"4.027"	"1.0"
"C24"	"INTERNAL_PERF_CAMPAIGN_SUBTYPE_CPC"	"CAMPAIGN_SUBTYPE_CPC_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"campaign_subtype"	"1"	"campaign_count,spend,clicks,impressions,program_gmv,program_orders,cpc"	"7"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1778"	"219093946"	"0.204"	"reporting.campaign_tagging_data;reporting.clients;reporting.marketing_campaign_group_dimensions;reporting.campaign_performance_facts"	"SELECT"	"38a3015e-f05e-4967-9b98-084922878f73"	"2"	"219152384"	"False"	"45314"	"1886.0"	"222076.1"	"24.0"	"9"	"185215570"	"28492773"	"4278479"	"S05: Join"	"0.204"	"1.0"
"C25"	"INTERNAL_PERF_CATEGORY_QUADRANT"	"CATEGORY_QUADRANT_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"category_level,category_l1,category_l2,category_l3"	"4"	"requests,response_rate,spend,campaign_group_daily_budget,budget_utilisation_perc,uniq_campaigns_count,uniq_merchant_count"	"7"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"2971"	"319401022"	"0.297"	"reporting.static_currency_conversion;reporting.os_product_ads_campaign_category_report_pla;reporting.os_product_ads_daily_category_quadrant_report_pla;reporting.agencies"	"SELECT"	"3df033ab-9bd4-4646-b555-a2b47990d6d4"	"528"	"319815680"	"False"	"6202"	"1544.0"	"20849.5"	"4.0"	"11"	"36831833"	"2435032"	"414737"	"S08: Coalesce"	"0.306"	"1.0"
"C26"	"INTERNAL_PERF_CATEGORY_REQUEST_VOLUME"	"CATEGORY_REQUEST_VOLUME_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"category_l1,category_l2,category_l3"	"3"	"request_volume"	"1"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"516"	"11588954087"	"10.793"	"reporting_belgium.os_product_ads_request_report"	"SELECT"	"5d847ddc-a9fb-4612-8cc7-974d601b6358"	"1449"	"11589910528"	"False"	"44983"	"2902.0"	"4167.8"	"15.5"	"2"	"14828789"	"31459120"	"236464"	"S00: Input"	"10.793"	"1.0"
"C27"	"INTERNAL_PERF_CTR_OVERALL"	"CTR_OVERALL_REPORT"	"EXTREME_ALL_ATTRIBUTES"	""	"0"	"clicks,impressions,ctr,spend"	"4"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"728"	"19078569"	"0.018"	"reporting.monetize_merchant_facts"	"SELECT"	"248728b1-a953-499c-b879-516167947f09"	"1"	"19922944"	"False"	"65"	"178.0"	"3658.2"	"0.4"	"1"	"33"	"515637"	"1"	"S00: Output"	"0.018"	"1.0"
"C29"	"INTERNAL_PERF_DISPLAY_INVENTORY_CAMPAIGNS"	"DISPLAY_INVENTORY_CAMPAIGNS_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"merchant_id,merchant_name,campaign_group_id,campaign_group_name,os_client_id,campaign_group_type,campaign_group_status,campaign_group_start_date,campaign_group_end_date,campaign_group_subtype,merchant_remaining_balance,campaign_group_daily_budget,campaign_group_bidding_strategy_type,ad_unit,page_type"	"15"	"spend,cpm"	"2"	"ad_unit"	"[{""key"": ""ad_unit"", ""operator"": ""IN"", ""values"": [""cart-bottom""]}]"	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"6527"	"624889568"	"0.582"	"reporting.os_ads_db_campaign_inventory_configurations;reporting.os_ads_db_campaign_inventory_configurations;reporting.os_ads_db_campaign_inventory_configurations;reporting.campaign_tagging_data;reporting.agencies;reporting.os_display_ads_ad_targeting_report;reporting.monetize_merchant_dimensions;reporting.os_ads_db_status_types;reporting.marketing_campaign_group_dimensions;reporting.marketplace_clients;reporting.marketing_campaign_dimensions"	"SELECT"	"3b0f61a7-da2b-4708-bc1b-ce10c55ba4d9"	"3"	"624951296"	"False"	"68103"	"5149.0"	"117020.7"	"13.2"	"21"	"174079768"	"15748142"	"3088640"	"S00: Input"	"1.229"	"2.1"
"C30"	"INTERNAL_PERF_DISPLAY_QUADRANT"	"DISPLAY_QUADRANT_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"page_type,ad_unit"	"2"	"requests,response_rate,impression_responses_ratio,spend,budget_utilisation_perc,uniq_campaigns_count,uniq_merchant_count"	"7"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"3212"	"58583679"	"0.055"	"reporting.os_ads_db_campaign_types;reporting.static_currency_conversion;reporting.os_ads_db_status_types;reporting.os_display_ads_ad_targeting_report;reporting.os_ads_db_campaigns;reporting.os_ads_db_campaigns;reporting.os_ads_db_campaigns;reporting.os_ads_db_campaign_inventory_configurations;reporting.os_ads_db_campaign_inventory_configurations;reporting.os_ads_db_campaign_inventory_configurations;reporting.os_display_ads_daily_quadrant_report;reporting.agencies"	"SELECT"	"eebaaedf-ef27-4eee-9808-7e8249f5110c"	"31"	"83886080"	"False"	"206146"	"2752.0"	"3778314.8"	"74.9"	"24"	"116094322"	"33735542"	"1542232"	"S00: Input"	"0.641"	"11.7"
"C32"	"INTERNAL_PERF_MARKETPLACE_DIRECTORY"	"MARKETPLACE_DIRECTORY_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"marketplace_name,agency_id,marketplace_client_id,region,currency,timezone"	"6"	"placeholder_metric"	"1"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"558"	"42067"	"0.0"	"reporting.agencies;reporting.marketplace_clients"	"SELECT"	"edcf0dc4-1871-480b-9ab7-321ff28ac27a"	"64"	"20971520"	"False"	"37"	"165.0"	"944408.9"	"0.2"	"1"	"5662"	"916"	"64"	"S00: Output"	"0"	""
"C33"	"INTERNAL_PERF_MERCHANT_CATEGORY"	"MERCHANT_CATEGORY_PERFORMANCE_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"category,campaign_name,marketing_campaign_id,marketing_campaign_group_id,os_client_id"	"5"	"spend,impressions,clicks,orders,revenue"	"5"	"os_client_id"	"[{""key"": ""os_client_id"", ""operator"": ""IN"", ""values"": [""277661""]}]"	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"2107"	"1167058840"	"1.087"	"reporting.campaign_tagging_data;reporting.clients;reporting.marketing_campaign_dimensions;reporting.marketing_campaign_group_dimensions;reporting.os_product_ads_device_product_facts;reporting.os_product_ads_device_keyword_product_report;reporting.merchant_merchandise_product_dimensions"	"SELECT"	"6b795233-783b-40fa-88f7-d13a4a96d9e5"	"296"	"1167065088"	"False"	"49934"	"2493.0"	"45941.3"	"20.0"	"11"	"276009278"	"22104585"	"5759961"	"S0A: Join+"	"25.89"	"23.8"
"C35"	"INTERNAL_PERF_MINUTE_CPC"	"MINUTE_LEVEL_CPC_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"campaign_id,page_type,minute_timestamp,hour,minute"	"5"	"clicks,spend"	"2"	"campaign_id"	"[{""key"": ""campaign_id"", ""operator"": ""IN"", ""values"": [""1322334""]}]"	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1596"	"1993072984"	"1.856"	"reporting.static_currency_conversion;reporting.marketplace_clients;reporting.os_product_ads_response_to_clicks_mapping;reporting.campaign_tagging_data"	"SELECT"	"671c87f9-1e52-4b08-ac32-1388f76065cc"	"953"	"1993342976"	"False"	"36206"	"617.0"	"19505.5"	"58.7"	"5"	"147291"	"30650932"	"2069"	"S05: Join+"	"1.856"	"1.0"
"C36"	"INTERNAL_PERF_MINUTE_CPM"	"MINUTE_LEVEL_CPM_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"marketing_campaign_group_id,hour,minute"	"3"	"impressions,spend"	"2"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1326"	"30368223833"	"28.283"	"reporting.os_product_ads_response_to_impressions_mapping;reporting.marketplace_clients;reporting.static_currency_conversion;reporting.campaign_tagging_data"	"SELECT"	"128ed019-c9c8-430e-a972-64ddf828230f"	"5388377"	"30368858112"	"False"	"329811"	"10384.0"	"11661.3"	"31.8"	"9"	"1139359621"	"130332559"	"27054444"	"S06: Join+"	"133.402"	"4.7"
"C37"	"INTERNAL_PERF_PROBLEM_METRICS"	"PROBLEM_METRICS_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"marketplace_client_id,metric,old_value,new_value,change_perc,severity,primary_reason"	"7"	"placeholder_metric"	"1"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"453"	"0"	"0.0"	"reporting.os_ads_performance_trend_analysis_report"	"SELECT"	"7e03f0f7-fb2a-4d00-943f-798d22bef605"	"0"	"0"	"False"	"82"	"119.0"	""	"0.7"	"1"	"0"	"0"	"0"	"S00: Output"	"0"	""
"C38"	"INTERNAL_PERF_RESPONDED_SKUS"	"RESPONDED_SKUS_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"keyword,cache_type,sku_id,product_name,brand,category,campaign_id"	"7"	"spend,impressions"	"2"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1359"	"79606530508"	"74.139"	"reporting.os_product_ads_response_to_impressions_mapping;reporting.static_currency_conversion;reporting.oltp_merchandise_product_dimensions_100002;reporting.marketplace_clients"	"SELECT"	"b37745b7-4656-430c-86b8-10e15066abbf"	"7107009"	"79606841344"	"False"	"417049"	"19463.0"	"5625.2"	"21.4"	"10"	"12733156133"	"164614835"	"67061047"	"S09: Output"	"75.215"	"1.0"
"C39"	"INTERNAL_PERF_SEARCH_QUERY_CAMPAIGNS"	"SEARCH_QUERY_CAMPAIGNS_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"search_query,os_client_id,merchant_id,campaign_id,campaign_name,effective_status"	"6"	"placeholder_metric"	"1"	"search_query"	"[{""key"": ""search_query"", ""operator"": ""IN"", ""values"": [""iphone""]}]"	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"857"	"1794579950"	"1.671"	"reporting.campaign_tagging_data;reporting.os_ads_search_query_performance_report;reporting.marketplace_clients;reporting.marketing_campaign_dimensions"	"SELECT"	"0af9d07d-afe1-4065-a468-becf22ff4e08"	"2"	"1795162112"	"False"	"20078"	"2229.0"	"12013.2"	"9.0"	"7"	"114631905"	"42225704"	"3549225"	"S06: Join+"	"1.983"	"1.2"
"C40"	"INTERNAL_PERF_SEARCH_QUERY_MATCH"	"SEARCH_QUERY_MATCH_PERFORMANCE_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"search_query,matched_keyword,keyword_match_type,os_client_id,campaign_id"	"5"	"spend,impressions,clicks,top_of_search_impressions"	"4"	"os_client_id,campaign_id"	"[{""key"": ""os_client_id"", ""operator"": ""IN"", ""values"": [""277661""]}, {""key"": ""campaign_id"", ""operator"": ""IN"", ""values"": [""1322334""]}]"	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1620"	"712802950"	"0.664"	"reporting.marketing_campaign_dimensions;reporting.os_ads_search_query_performance_report;reporting.campaign_tagging_data;reporting.agencies"	"SELECT"	"90a92add-a009-40aa-b8d4-9f3b16834fbc"	"0"	"713031680"	"False"	"2672"	"595.0"	"4025.0"	"4.5"	"8"	"1042"	"7345690"	"6"	"S00: Input"	"3.432"	"5.2"
"C41"	"INTERNAL_PERF_TARGET_ROI"	"TARGET_ROI_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"target_roi"	"1"	"placeholder_metric"	"1"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"153"	"3915"	"0.0"	"reporting.agencies"	"SELECT"	"aa7ee688-5e8e-47d4-912c-dda2764cffc5"	"1"	"10485760"	"False"	"22"	"141.0"	"6033798.2"	"0.2"	"1"	"17"	"481"	"1"	"S00: Output"	"0"	""
"C42"	"INTERNAL_PERF_TRUE_BU"	"TRUE_BU_CAMPAIGN_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"os_client_id,seller_id,merchant_name,marketing_campaign_id,marketing_campaign_name,effective_status,campaign_type,campaign_subtype"	"8"	"daily_budget,total_budget,spend,wallet_balance,budget_utilization"	"5"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"3956"	"315243912"	"0.294"	"reporting.static_currency_conversion;reporting.agencies;reporting.clients;reporting.marketing_campaign_dimensions;reporting.marketing_campaign_dimensions_daily;reporting.client_budget_snapshot"	"SELECT"	"f6b66d56-1754-4c3c-a421-b0e8a7f38962"	"129619"	"315621376"	"False"	"31943"	"4790.0"	"108800.0"	"6.7"	"17"	"314329989"	"28148801"	"2544601"	"S0A: Join+"	"0.294"	"1.0"
"C43"	"INTERNAL_PERF_WALLET_BALANCE"	"WALLET_BALANCE_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"os_client_id,merchant_id,merchant_name,remaining_budget_amount_usd,conversion_factor"	"5"	"placeholder_metric"	"1"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"718"	"42523502"	"0.04"	"reporting.clients;reporting.marketplace_clients;reporting.static_currency_conversion"	"SELECT"	"23105d80-6459-47ab-82ca-efa44f314617"	"42070"	"42991616"	"False"	"1257"	"903.0"	"31739.9"	"1.4"	"2"	"6042474"	"637758"	"84140"	"S00: Input"	"0.04"	"1.0"
